stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
420,"KRES02","Kresowa",52.4686397100,16.9474248100,A
1219,"SOBI02","Sobiesława",52.4053544600,17.0227539200,A
1162,"SMNA01","Smolna",52.4235503300,16.9651920800,A
355,"SUCH02","Sucholeska",52.4623384300,16.8688846200,A
3097,"KNKOS02","Konarzewo/Kościelna",52.3348080000,16.7112690000,C
742,"OSTR02","Ostroroga",52.4003292800,16.8818442500,A
2265,"KYCME01","Kliny/Cmentarz Ewangelicki",52.4855072300,17.0566298700,C
2304,"KECME01","Krerowo/Cmentarz",52.2900075900,17.1844939200,B
3918,"DEDAB02","Dębogóra/Dąbrówki",52.4985212224,17.0828698864,C
3079,"MGPOL02","M. Goślina/Polna",52.5782079136,17.0178037894,C
2875,"KLTOP01","Kleszczewo/Topolowa",52.3330312600,17.1786983000,B
3249,"KDTFP02","Kórnik/TFP",52.2570018862,17.0844932184,C
4137,"WORD02","WORD",52.4329698879,16.9543167517,A
487,"SERB01","Serbska",52.4324932200,16.9466084200,A
2092,"KHKRE02","Kokoszczyn/Kręta",52.4916755100,16.6530352500,C
2960,"KOKSW04","Komorniki/Ks.Wawrzyniaka",52.3474319100,16.8046777600,B
494,"POLA03","Połabska",52.4361636300,16.9308478800,A
3194,"SKGRA02","Skórzewo/Os. Grafitowe",52.3949790000,16.7635930000,B
4343,"SSPAZ02","Środa Wielkopolska/20 Października",52.2247688004,17.2774483598,C
601,"LUPO02","Łupowska",52.4352823800,16.8301995000,A
1391,"STAR30","Starołęka PKM",52.3661320000,16.9301820000,A
2726,"BUDZ43","Budziszyńska",52.3884800000,16.8481800000,A
2134,"BRLAK02","Borówiec/Łąkowa",52.2829140000,17.0452720000,B
41,"KMIE71","Kmieca",52.4263321700,16.9384827300,A
1815,"PWSZK02","Pawłowice/Pętla",52.4952270100,16.7968397700,B
1177,"JANZ01","Janikowska ",52.4321270000,17.0027201500,A
4114,"SKCYT01","Skórzewo/Cytrynowa",52.3985080000,16.7830950000,B
1161,"CHEM02","Chemiczna",52.4272314800,16.9667300600,A
4462,"SZWE03","Szwedzka",52.3822845295,16.9909007514,A
1827,"KCJON01","Kicin/Jonschera",52.4576270600,17.0168938300,B
2326,"MAAUT01","Markowice/Autostrada",52.3120691700,17.2321514000,B
1313,"DAPIO01","Daszewice/Piotrowska",52.2993912300,16.9580540800,B
1646,"PANZ02","Porzeczkowa",52.3623172300,17.0144106500,A
1494,"ZIII02","Żegrze III",52.3833883200,16.9696139800,A
1828,"KCJON02","Kicin/Jonschera",52.4574087500,17.0166881500,B
29,"SZYM42","Szymanowskiego",52.4603710300,16.9169382500,A
3597,"LUJPA03","Luboń/Jana Pawła II",52.3455515078,16.8825064483,B
1495,"ZIII01","Żegrze III",52.3834942300,16.9691199700,A
2121,"SCNWO01","Szczytniki/Nad Wodą",52.3017780000,17.0161590000,B
953,"WIBRZ01","Wiry/Brzoskwiniowa",52.3296370124,16.8363890627,B
2407,"BOPAL02","Bolechowo/Pałac",52.5442235600,16.9906102700,C
2283,"KFPET01","Karłowice/Pętla",52.4974480200,17.1066468200,C
2310,"ZNSZK02","Zimin/Szkoła",52.2953961100,17.1517947500,B
3627,"DBBKW01","Dąbrowa/Bukowska",52.4080623440,16.7359195711,C
768,"SZAM01","Szamotulska",52.4046890900,16.8832369900,A
146,"LOMZ42","Łomżyńska",52.4096310300,16.9851960400,A
2059,"LKADM02","Lusówko/Admiralska",52.4424291400,16.6338952500,C
1696,"ROSK41","Rondo Skubiszewskiego",52.3905040000,16.8545990000,A
1874,"RKLES02","Rokietnica/Leśna",52.5051000000,16.7364000000,B
2932,"KICZE01","Kiekrz/Czereśniowa",52.4985931340,16.7506476194,B
485,"SERB04","Serbska",52.4313437400,16.9475532400,A
620,"OGDY01","Ogrody",52.4169067600,16.8818094600,A
2144,"TULES01","Tulce/Leśna",52.3443426400,17.0723302400,B
1537,"KRSZ01","Krzesiny Szkoła",52.3411399600,16.9924082900,A
33,"ARPO42","Armii Poznań",52.4213487500,16.9235154600,A
3551,"JUST01","Junikowo PKM",52.3776000000,16.8236000000,A
4404,"LUDŁU01","Luboń/Długa",52.3411945368,16.8545113505,B
99,"ARCI42","Arciszewskiego",52.3926985000,16.8869293500,A
1714,"POGL42","Poznań Główny",52.4028300000,16.9155900000,A
2657,"DZLES02","Dziećmierowo/Leśna",52.2703047000,17.0978484800,C
