route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,brigade
PKS,1,"1_2555786^Y+","Żabinko/",1,400917,0,115
PKS,1,"1_2555789^Y+","Żabinko/",1,400917,0,115
PKS,1,"1_2555791^Y+","Żabinko/",1,400917,0,115
PKS,1,"1_2555794^Y+","Żabinko/",1,400917,0,116
PKS,1,"1_2555806^Y+","Żabinko/",1,400917,0,245
PKS,1,"1_2555808^Y+","Żabinko/",1,400917,0,312
PKS,1,"1_2555810^Y+","Żabinko/",1,400917,0,349
PKS,1,"1_2555785^Y+","Poznań Główny",0,400918,0,115
PKS,1,"1_2555790^Y+","Poznań Główny",0,400918,0,115
PKS,1,"1_2555792^Y+","Poznań Główny",0,400918,0,115
PKS,1,"1_2555793^Y+","Poznań Główny",0,400918,0,116
PKS,1,"1_2555799^Y+","Poznań Główny",0,400918,0,207
PKS,1,"1_2555807^Y+","Poznań Główny",0,400918,0,312
PKS,1,"1_2555809^Y+","Poznań Główny",0,400918,0,349
PKS,1,"1_2555788^Y","Żabinko/",1,400930,0,115
PKS,1,"1_2555805^Y","Żabinko/",1,400930,0,230
PKS,1,"1_2555814^Y","Żabinko/",1,400930,0,918
PKS,1,"1_2555816^Y","Żabinko/",1,400930,0,918
PKS,1,"1_2555797^A,Y","Radzewice/Długa",1,400931,0,158
PKS,1,"1_2555798^A,Y","Radzewice/Długa",1,400931,0,158
PKS,1,"1_2555801^A,Y","Radzewice/Długa",1,400932,0,218
PKS,1,"1_2555803^A,Y","Radzewice/Długa",1,400932,0,219
PKS,1,"1_2555787^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,115
PKS,1,"1_2555804^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,230
PKS,1,"1_2555813^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,918
PKS,1,"1_2555815^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,918
PKS,1,"1_2555795^Y","Poznań Główny",0,400934,0,158
PKS,1,"1_2555796^Y","Poznań Główny",0,400934,0,158
PKS,1,"1_2555800^Y","Poznań Główny",0,400935,0,218
PKS,1,"1_2555802^Y","Poznań Główny",0,400935,0,219
PKS,1,"1_2555811^B,Y","Dymaczewo Nowe/Prusak",0,400936,0,402
PKS,1,"1_2555812^B,Y","Dymaczewo Nowe/Prusak",0,400936,0,402
PKS,3,"3_2556806^Y+","Żabinko/",1,401068,0,115
PKS,5,"5_2555930^Y+","Żabinko/",1,400917,0,115
PKS,5,"5_2555933^Y+","Żabinko/",1,400917,0,115
PKS,5,"5_2555935^Y+","Żabinko/",1,400917,0,115
PKS,5,"5_2555938^Y+","Żabinko/",1,400917,0,116
PKS,5,"5_2555950^Y+","Żabinko/",1,400917,0,245
PKS,5,"5_2555952^Y+","Żabinko/",1,400917,0,312
PKS,5,"5_2555954^Y+","Żabinko/",1,400917,0,349
PKS,5,"5_2555929^Y+","Poznań Główny",0,400918,0,115
PKS,5,"5_2555934^Y+","Poznań Główny",0,400918,0,115
PKS,5,"5_2555936^Y+","Poznań Główny",0,400918,0,115
PKS,5,"5_2555937^Y+","Poznań Główny",0,400918,0,116
PKS,5,"5_2555943^Y+","Poznań Główny",0,400918,0,207
PKS,5,"5_2555951^Y+","Poznań Główny",0,400918,0,312
PKS,5,"5_2555953^Y+","Poznań Główny",0,400918,0,349
PKS,5,"5_2555932^Y","Żabinko/",1,400930,0,115
PKS,5,"5_2555949^Y","Żabinko/",1,400930,0,230
PKS,5,"5_2555958^Y","Żabinko/",1,400930,0,918
PKS,5,"5_2555960^Y","Żabinko/",1,400930,0,918
PKS,5,"5_2555941^A,Y","Radzewice/Długa",1,400931,0,158
PKS,5,"5_2555942^A,Y","Radzewice/Długa",1,400931,0,158
PKS,5,"5_2555945^A,Y","Radzewice/Długa",1,400932,0,218
PKS,5,"5_2555947^A,Y","Radzewice/Długa",1,400932,0,219
PKS,5,"5_2555931^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,115
PKS,5,"5_2555948^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,230
PKS,5,"5_2555957^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,918
PKS,5,"5_2555959^A,Y","Mosina/Dworzec Kolejowy",0,400933,0,918
PKS,5,"5_2555939^Y","Poznań Główny",0,400934,0,158
PKS,5,"5_2555940^Y","Poznań Główny",0,400934,0,158
PKS,5,"5_2555944^Y","Poznań Główny",0,400935,0,218
PKS,5,"5_2555946^Y","Poznań Główny",0,400935,0,219
PKS,5,"5_2555955^B,Y","Dymaczewo Nowe/Prusak",0,400936,0,402
PKS,5,"5_2555956^B,Y","Dymaczewo Nowe/Prusak",0,400936,0,402
PKS,7,"7_2556056^Y+","Żabinko/",1,400917,0,115
PKS,7,"7_2556059^Y+","Żabinko/",1,400917,0,115
PKS,7,"7_2556061^Y+","Żabinko/",1,400917,0,115
PKS,7,"7_2556064^Y+","Żabinko/",1,400917,0,116
PKS,7,"7_2556076^Y+","Żabinko/",1,400917,0,245
PKS,7,"7_2556078^Y+","Żabinko/",1,400917,0,312
